latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.42941948,-70.60066538,45.9655,0.8684,47RFH9CX+6PP8,Z1
-33.43439382,-70.62477271,186.8219,0.7883,47RFH98G+63X7,Z1
-33.44478984,-70.62517792,462.5109,0.7967,47RFH94F+3WPF,Z1
-33.44007679,-70.62412121,85.8235,0.7434,47RFH95G+X96R,Z1
-33.42392088,-70.60405526,90.7907,0.7442,47RFH9GW+C9P2,Z1
-33.43344307,-70.6051584,95.2706,0.8354,47RFH98V+JWG9,Z1
-33.42880992,-70.62797493,134.1814,0.9033,47RFH9CC+FRCQ,Z1
-33.44226203,-70.62609953,495.6607,0.8739,47RFH95F+3HRH,Z1
-33.42040547,-70.61725305,100.223,0.808,47RFH9HM+R3QQ,Z1
-33.44431321,-70.60377711,50.7456,0.7645,47RFH94W+7FHC,Z1
-33.43892278,-70.62057559,33.1628,0.6777,47RFH96H+CQM4,Z1
-33.42815492,-70.61250921,106.5141,0.9174,47RFH9CP+PXQW,Z1
-33.43271927,-70.6295727,91.8965,0.8728,47RFH98C+W578,Z1
-33.43520236,-70.61665984,34.1948,0.7043,47RFH97M+W88X,Z1
-33.42598548,-70.60535869,270.6432,0.8753,47RFH9FV+JV2G,Z1
-33.43894536,-70.61823025,19.4345,0.6756,47RFH96J+CPC4,Z1
-33.44364085,-70.61580241,38.9174,0.7433,47RFH94M+GMW7,Z1
-33.44451275,-70.60275147,136.2837,0.8287,47RFH94W+5VXH,Z1
-33.42612411,-70.60740765,1174.9656,0.9518,47RFH9FV+H245,Z1
-33.43143946,-70.6184179,60.7744,0.8405,47RFH99J+CJGG,Z1
-33.44264865,-70.62821178,204.5101,0.8079,47RFH94C+WPV2,Z1
-33.43290342,-70.61315168,28.6409,0.7789,47RFH98P+RPQR,Z1
-33.43061686,-70.63070114,112.4333,0.8562,47RFH999+QP38,Z1
-33.43848313,-70.61611024,294.0254,0.9015,47RFH96M+JH2M,Z1
-33.42596145,-70.60906854,12.7284,0.6732,47RFH9FR+J97H,Z1
-33.4398255,-70.63930717,290.0812,0.7129,47RFH966+378R,Z1
-33.44410932,-70.60252863,69.4676,0.8071,47RFH94W+9X5J,Z1
-33.42335548,-70.60993992,8.2187,0.6832,47RFH9GR+M23Q,Z1
-33.43222058,-70.62301947,143.7832,0.8611,47RFH99G+4Q93,Z1
-33.44343658,-70.61392496,65.8126,0.818,47RFH94P+JCGF,Z1
-33.44215406,-70.61736644,46.5686,0.6729,47RFH95M+43JV,Z1
-33.43866422,-70.63554438,45.1148,0.6954,47RFH967+GQPG,Z1
-33.43101939,-70.60608805,186.5305,0.8472,47RFH99V+HHV6,Z1
-33.42202146,-70.60631901,80.8659,0.6912,47RFH9HV+5FV5,Z1
-33.44320322,-70.61527833,481.5709,0.9343,47RFH94M+PV9R,Z1
-33.43769998,-70.61054872,59.4706,0.7105,47RFH96Q+WQG3,Z1
-33.43883147,-70.62059738,89.3565,0.8549,47RFH96H+FQ6Q,Z1
-33.43460204,-70.62542127,983.3238,0.875,47RFH98F+5R4W,Z1
-33.42318273,-70.63113596,13.0388,0.7154,47RFH9G9+PGHP,Z1
-33.43833639,-70.6147253,37.6315,0.7766,47RFH96P+M46H,Z1
-33.42759939,-70.63466847,42.8433,0.7615,47RFH9C8+X484,Z1
-33.4382543,-70.61996201,202.5957,0.8898,47RFH96J+M2VR,Z1
-33.42663421,-70.61888455,36.4334,0.775,47RFH9FJ+8CXP,Z1
-33.43912328,-70.63136948,63.1774,0.8222,47RFH969+9F22,Z1
-33.43953884,-70.60407271,92.7716,0.7707,47RFH96W+59MG,Z1
-33.44290539,-70.63452145,28.7146,0.7721,47RFH948+R5QM,Z1
-33.43979755,-70.6350628,73.3238,0.8383,47RFH967+3XM5,Z1
-33.42447978,-70.60636717,95.92,0.7688,47RFH9GV+6F2V,Z1
-33.44424729,-70.62947152,32.5289,0.8126,47RFH94C+8625,Z1
-33.43655592,-70.6029234,290.939,0.9257,47RFH97W+9RGM,Z1
-33.44062921,-70.63346178,90.2705,0.7497,47RFH958+PJVR,Z1
-33.42163379,-70.63867869,110.8147,0.8801,47RFH9H6+8GWM,Z1
-33.42801797,-70.60683543,169.1245,0.8876,47RFH9CV+Q7V7,Z1
-33.43379693,-70.6396832,58.0523,0.777,47RFH986+F4P2,Z1
-33.43752202,-70.63714188,103.4112,0.838,47RFH967+X4X3,Z1
-33.42627338,-70.61206456,515.8778,0.9255,47RFH9FQ+F5V5,Z1
-33.42648559,-70.6202831,67.465,0.747,47RFH9FH+CV4H,Z1
-33.44221469,-70.61824079,103.0775,0.8091,47RFH95J+4P6F,Z1
-33.43521026,-70.61671058,32.4627,0.7198,47RFH97M+W87F,Z1
-33.43944736,-70.6270519,1343.3549,0.827,47RFH96F+65G3,Z1
-33.43822341,-70.62053626,130.3064,0.7718,47RFH96H+PQ85,Z1
-33.42247502,-70.6052045,246.3433,0.8112,47RFH9HV+2W3V,Z1
-33.42794361,-70.60849357,485.3662,0.8335,47RFH9CR+RJC6,Z1
-33.43703371,-70.60210742,116.0322,0.9068,47RFH97X+55JP,Z1
-33.4350898,-70.61115115,731.3495,0.7718,47RFH97Q+XG9C,Z1
-33.42762205,-70.60369294,124.5974,0.8916,47RFH9CW+XG35,Z1
-33.43829655,-70.61713024,45.6684,0.7291,47RFH96M+M4Q5,Z1
-33.43351057,-70.6099513,247.5434,0.9222,47RFH98R+H2VG,Z1
-33.43944496,-70.62551131,54.0425,0.7409,47RFH96F+6QH8,Z1
-33.42125018,-70.61077696,328.3169,0.8537,47RFH9HQ+FMXR,Z1
-33.42737833,-70.62156668,218.4791,0.8898,47RFH9FH+29VX,Z1
-33.44344012,-70.62040553,75.61,0.7999,47RFH94H+JRH6,Z1
-33.4214291,-70.62114169,42.0992,0.7809,47RFH9HH+CGHV,Z1
-33.43286496,-70.62943786,225.7058,0.7575,47RFH98C+V63H,Z1
-33.4313551,-70.63738108,120.3415,0.8799,47RFH997+F25Q,Z1
-33.42380675,-70.61455846,136.0528,0.8544,47RFH9GP+F5GJ,Z1
-33.44007817,-70.60646191,171.3793,0.7644,47RFH95V+XC7R,Z1
-33.44067041,-70.61388656,111.6142,0.8684,47RFH95P+PCQ4,Z1
-33.42762992,-70.6017166,152.5425,0.833,47RFH9CX+W8VR,Z1
-33.43688281,-70.60196262,330.4673,0.8973,47RFH97X+66VJ,Z1
-33.4315547,-70.63927764,75.4171,0.7861,47RFH996+97HR,Z1
-33.43676416,-70.62700994,221.7461,0.8259,47RFH97F+75XG,Z1
-33.43120066,-70.60354661,66.7732,0.8791,47RFH99W+GH8W,Z1
-33.43776641,-70.62261839,44.9414,0.7284,47RFH96G+VXR6,Z1
-33.44485451,-70.60552223,178.5189,0.7806,47RFH94V+3Q5V,Z1
-33.43926012,-70.63133781,124.2809,0.7699,47RFH969+7FVC,Z1
-33.42659067,-70.60996225,169.4802,0.809,47RFH9FR+9276,Z1
-33.4324473,-70.62394231,335.3907,0.8415,47RFH99G+2CF5,Z1
-33.42846018,-70.61902558,199.3178,0.7513,47RFH9CJ+J99C,Z1
-33.43196064,-70.62037525,66.039,0.7278,47RFH99H+6R9H,Z1
-33.43310383,-70.63114841,42.2781,0.7185,47RFH989+QG5V,Z1
-33.4284344,-70.62147091,190.0457,0.9208,47RFH9CH+JCCQ,Z1
-33.43073069,-70.61234821,152.363,0.8276,47RFH99Q+P32Q,Z1
-33.43995649,-70.6396457,13.4192,0.7414,47RFH966+249M,Z1
-33.43183345,-70.62880113,48.3575,0.733,47RFH99C+7F8M,Z1
-33.4316016,-70.61517188,475.6429,0.9198,47RFH99M+9W4V,Z1
-33.43761594,-70.61455538,7.3522,0.7048,47RFH96P+X546,Z1
-33.43229185,-70.6366012,227.4057,0.8489,47RFH997+39J9,Z1
-33.43884399,-70.62627338,176.3753,0.8681,47RFH96F+FF97,Z1
-33.42927329,-70.60472107,104.1852,0.8386,47RFH9CW+74R5,Z1
-33.43698986,-70.63967803,13.513,0.7448,47RFH976+644F,Z1
-33.43987947,-70.62312009,59.6096,0.7651,47RFH96G+2QRR,Z1
-33.43018659,-70.60587989,70.0324,0.7774,47RFH99V+WJHH,Z1
