latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.43553992,-70.76429379,47.4359,0.7202,47RFH67P+Q7PG,Z5
-33.44607929,-70.77185562,50.782,0.8656,47RFH63H+H76W,Z5
-33.44931192,-70.76687734,84.0279,0.8937,47RFH62M+76HH,Z5
-33.4474138,-70.76072276,47.2888,0.7691,47RFH63Q+2PJH,Z5
-33.46122191,-70.76317632,65.9172,0.7407,47RFG6QP+GP83,Z5
-33.45147186,-70.76428577,149.557,0.8944,47RFG6XP+C785,Z5
-33.43207407,-70.77017689,39.4828,0.7722,47RFH69H+5WG3,Z5
-33.45731235,-70.78237361,53.3502,0.7399,47RFG6V9+33CC,Z5
-33.43689364,-70.77654035,66.367,0.7406,47RFH67F+69W8,Z5
-33.43496059,-70.76386237,86.4105,0.7286,47RFH68P+2F6F,Z5
-33.44184442,-70.78665915,3437.4167,0.964,47RFH657+7889,Z5
-33.43508647,-70.76101963,91.8629,0.7751,47RFH67Q+XH9F,Z5
-33.46059305,-70.76124705,128.4765,0.7851,47RFG6QQ+QG66,Z5
-33.45102936,-70.76644642,129.7389,0.7923,47RFG6XM+HCMW,Z5
-33.4368984,-70.77642055,160.264,0.8464,47RFH67F+6CW4,Z5
-33.44221099,-70.79071612,13.6288,0.8079,47RFH655+4P7C,Z5
-33.45949662,-70.76302973,54.4892,0.8002,47RFG6RP+6Q52,Z5
-33.4467954,-70.76464335,31.0332,0.7392,47RFH63P+74Q3,Z5
-33.45575169,-70.76144832,17.3226,0.7276,47RFG6VQ+MCVW,Z5
-33.44621672,-70.76607547,34.4694,0.7856,47RFH63M+GH78,Z5
-33.43985371,-70.76602044,89.5264,0.845,47RFH66M+3H5V,Z5
-33.43872637,-70.76701696,100.0141,0.7936,47RFH66M+G55V,Z5
-33.43494128,-70.76444357,31.9325,0.7373,47RFH68P+26F9,Z5
-33.45974379,-70.78502192,24.3361,0.8108,47RFG6R7+4X57,Z5
-33.44357185,-70.80143672,67.8496,0.7911,47RFH54X+HCG2,Z5
-33.43535322,-70.76019185,234.2277,0.8149,47RFH67Q+VW3X,Z5
-33.46478269,-70.77285041,120.7456,0.7532,47RFG6PG+3VJQ,Z5
-33.43972087,-70.76757352,53.5896,0.7749,47RFH66J+4X74,Z5
-33.46122528,-70.76160262,14.3798,0.6542,47RFG6QQ+G92W,Z5
-33.43992785,-70.7610961,76.6958,0.73,47RFH66Q+2HCX,Z5
-33.44215634,-70.76283636,22.6341,0.7404,47RFH65P+4VMJ,Z5
-33.46106412,-70.76579637,211.2172,0.9314,47RFG6QM+HMGG,Z5
-33.43339434,-70.76040402,35.3063,0.6956,47RFH68Q+JRX6,Z5
-33.4350369,-70.76738293,54.2716,0.7754,47RFH67M+X2QG,Z5
-33.44186417,-70.77177781,98.2407,0.7914,47RFH65H+775C,Z5
-33.46217768,-70.76040692,21.0167,0.6717,47RFG6QQ+4RGX,Z5
-33.43878765,-70.78431966,270.2622,0.9473,47RFH668+F7MH,Z5
-33.45715509,-70.76020699,98.0507,0.8676,47RFG6VQ+4WMM,Z5
-33.4542223,-70.76529079,14.5131,0.6983,47RFG6WM+8V84,Z5
-33.4400392,-70.76571403,110.2793,0.8923,47RFH65M+XPMC,Z5
-33.43554493,-70.77772819,50.3577,0.6864,47RFH67C+QWJ8,Z5
-33.45726408,-70.76367504,39.5903,0.8037,47RFG6VP+3GWF,Z5
-33.45559762,-70.80283664,214.1363,0.9036,47RFG5VW+QV72,Z5
-33.45615154,-70.76552331,131.1754,0.9051,47RFG6VM+GQQV,Z5
-33.43273537,-70.77513869,210.994,0.8241,47RFH68F+WW5G,Z5
-33.46090285,-70.76038277,105.8465,0.8679,47RFG6QQ+JRQX,Z5
-33.45454071,-70.76475592,14.4242,0.6708,47RFG6WP+53Q9,Z5
-33.43348715,-70.76819589,89.7904,0.77,47RFH68J+JP3G,Z5
-33.46429652,-70.7614088,117.2437,0.8979,47RFG6PQ+7CP5,Z5
-33.45302875,-70.76515623,38.583,0.7715,47RFG6WM+QWQR,Z5
-33.4588615,-70.76847997,27.7886,0.6558,47RFG6RJ+FJ2G,Z5
-33.45674026,-70.76331564,72.3466,0.7787,47RFG6VP+8M39,Z5
-33.43663052,-70.76287384,13.8511,0.7449,47RFH67P+8VRJ,Z5
-33.44950674,-70.7809289,39.5275,0.8215,47RFH629+5JWM,Z5
-33.43406846,-70.77333071,87.2962,0.8715,47RFH68G+9MF7,Z5
-33.43445397,-70.77332428,123.6894,0.8284,47RFH68G+6M7W,Z5
-33.44639131,-70.76171607,49.1573,0.8362,47RFH63Q+C8V6,Z5
